COMUNA;AÑO;MES;TEMPERATURA (°C);PRECIPITACIÓN (mm)
SANTIAGO;2022;ENERO;28;0
SANTIAGO;2022;FEBRERO;27;5
SANTIAGO;2022;MARZO;26;10
SANTIAGO;2022;ABRIL;22;15
SANTIAGO;2022;MAYO;19;20
SANTIAGO;2022;JUNIO;16;25
SANTIAGO;2022;JULIO;15;30
SANTIAGO;2022;AGOSTO;16;25
SANTIAGO;2022;SEPT;18;20
SANTIAGO;2022;OCTUBRE;21;15
SANTIAGO;2022;NOV;24;10
SANTIAGO;2022;DIC;26;5
VALPARAISO;2022;ENERO;25;2
VALPARAISO;2022;FEBRERO;24;5
VALPARAISO;2022;MARZO;23;10
VALPARAISO;2022;ABRIL;20;15
VALPARAISO;2022;MAYO;17;20
VALPARAISO;2022;JUNIO;15;25
VALPARAISO;2022;JULIO;14;30
VALPARAISO;2022;AGOSTO;15;25
VALPARAISO;2022;SEPT;17;20
VALPARAISO;2022;OCTUBRE;19;15
VALPARAISO;2022;NOV;22;10
VALPARAISO;2022;DIC;24;5
PUNTA ARENAS;2022;ENERO;10;20
PUNTA ARENAS;2022;FEBRERO;11;15
PUNTA ARENAS;2022;MARZO;10;10
PUNTA ARENAS;2022;ABRIL;7;12
PUNTA ARENAS;2022;MAYO;4;25
PUNTA ARENAS;2022;JUNIO;2;35
PUNTA ARENAS;2022;JULIO;1;40
PUNTA ARENAS;2022;AGOSTO;2;35
PUNTA ARENAS;2022;SEPT;4;25
PUNTA ARENAS;2022;OCTUBRE;7;18
PUNTA ARENAS;2022;NOV;9;15
PUNTA ARENAS;2022;DIC;10;12
